Número de Franquias,Número de Lojas por franquia,Distância Mínima,Algoritmo,Tempo de Execução,Arquivo de Dados
5,2,0,Força Bruta,1068160,5_franquias_2_lojas.txt
5,2,0,Branch and Bound,709278,5_franquias_2_lojas.txt
5,2,1,Força Bruta,844842,5_franquias_2_lojas.txt
5,2,1,Branch and Bound,758183,5_franquias_2_lojas.txt
5,2,2,Força Bruta,735211,5_franquias_2_lojas.txt
5,2,2,Branch and Bound,675679,5_franquias_2_lojas.txt
5,2,4,Força Bruta,842559,5_franquias_2_lojas.txt
5,2,4,Branch and Bound,801227,5_franquias_2_lojas.txt
5,2,8,Força Bruta,990016,5_franquias_2_lojas.txt
5,2,8,Branch and Bound,1085108,5_franquias_2_lojas.txt
5,2,16,Força Bruta,703063,5_franquias_2_lojas.txt
5,2,16,Branch and Bound,917933,5_franquias_2_lojas.txt
5,2,32,Força Bruta,735707,5_franquias_2_lojas.txt
5,2,32,Branch and Bound,708098,5_franquias_2_lojas.txt
5,2,64,Força Bruta,891763,5_franquias_2_lojas.txt
5,2,64,Branch and Bound,1069511,5_franquias_2_lojas.txt
5,2,128,Força Bruta,1368540,5_franquias_2_lojas.txt
5,2,128,Branch and Bound,16119555,5_franquias_2_lojas.txt
5,2,256,Força Bruta,12261272,5_franquias_2_lojas.txt
5,2,256,Branch and Bound,15073763,5_franquias_2_lojas.txt
5,2,512,Força Bruta,116851623,5_franquias_2_lojas.txt
5,2,512,Branch and Bound,10068911,5_franquias_2_lojas.txt
5,2,1024,Força Bruta,690486337,5_franquias_2_lojas.txt
5,2,1024,Branch and Bound,10479101,5_franquias_2_lojas.txt
,,0,Força Bruta,826641,exemplo_professor.txt
,,0,Branch and Bound,738412,exemplo_professor.txt
,,1,Força Bruta,750507,exemplo_professor.txt
,,1,Branch and Bound,760594,exemplo_professor.txt
,,2,Força Bruta,757181,exemplo_professor.txt
,,2,Branch and Bound,697337,exemplo_professor.txt
,,4,Força Bruta,1048697,exemplo_professor.txt
,,4,Branch and Bound,824963,exemplo_professor.txt
,,8,Força Bruta,1076789,exemplo_professor.txt
,,8,Branch and Bound,716544,exemplo_professor.txt
,,16,Força Bruta,998338,exemplo_professor.txt
,,16,Branch and Bound,725612,exemplo_professor.txt
,,32,Força Bruta,2049441,exemplo_professor.txt
,,32,Branch and Bound,14069807,exemplo_professor.txt
,,64,Força Bruta,10139327,exemplo_professor.txt
,,64,Branch and Bound,15385434,exemplo_professor.txt
,,128,Força Bruta,227125584,exemplo_professor.txt
,,128,Branch and Bound,10781153,exemplo_professor.txt
,,256,Força Bruta,616059394,exemplo_professor.txt
,,256,Branch and Bound,15838868,exemplo_professor.txt
,,512,Força Bruta,1136061787,exemplo_professor.txt
,,512,Branch and Bound,12560224,exemplo_professor.txt
,,1024,Força Bruta,1039738986,exemplo_professor.txt
,,1024,Branch and Bound,11870667,exemplo_professor.txt
5,2,0,Força Bruta,977388,5_franquias_2_lojas.txt
5,2,0,Branch and Bound,1137461,5_franquias_2_lojas.txt
5,2,1,Força Bruta,1141415,5_franquias_2_lojas.txt
5,2,1,Branch and Bound,1040077,5_franquias_2_lojas.txt
